country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Maldives,,,,,,,,,,,,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Mexico,10.3k,,,,,,,,,,,93k,99k,100k,110k,110k,120k,120k,130k,130k,140k,140k,140k,150k,150k,150k,160k,160k,160k,170k,170k,180k,180k
Mali,,,,391,,,,,,,,49k,56k,64k,72k,79k,85k,91k,96k,100k,100k,110k,110k,110k,110k,110k,110k,110k,100k,100k,110k,110k,110k
Malta,,,,,,,,,,,,60,60,60,60,160,160,160,160,160,160,350,350,350,350,350,350,350,350,350,350,350,350
Myanmar,,,,,,,1520,,,,,34k,47k,59k,73k,87k,100k,120k,140k,160k,190k,210k,230k,240k,250k,250k,260k,250k,250k,240k,240k,230k,220k
Mongolia,,,,,,,,,,,,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,160,160,350,350,350,600,600
Mozambique,3740,,,,,,,,,,,24k,47k,90k,160k,250k,340k,430k,510k,590k,670k,760k,850k,930k,1M,1.1M,1.1M,1.2M,1.2M,1.3M,1.3M,1.4M,1.4M
Mauritania,,,,,,,,,,,,3500,4000,4500,5100,5700,6300,6900,7500,8100,8700,9400,10k,11k,12k,12k,13k,15k,16k,18k,20k,22k,24k
Mauritius,,,,,,,,,,,,350,350,600,600,1300,1800,2400,3100,3900,4800,5700,6600,7300,7800,8200,8400,8400,8300,8100,7900,7700,7400
Malawi,,480,,,,,,,,,,360k,420k,480k,530k,570k,610k,660k,700k,750k,790k,830k,860k,890k,910k,920k,930k,930k,930k,920k,920k,910k,910k
Malaysia,,,,,,,,,476,,,11k,16k,21k,26k,31k,36k,42k,46k,50k,52k,55k,58k,61k,63k,67k,70k,73k,76k,78k,80k,81k,81k
Namibia,70,,,,,,,,,,,12k,17k,24k,32k,44k,59k,77k,97k,120k,130k,150k,160k,170k,180k,180k,180k,180k,180k,180k,190k,190k,190k
Niger,,,,,420,,,,,,,14k,16k,18k,21k,24k,27k,30k,33k,36k,39k,42k,45k,47k,49k,51k,53k,55k,57k,59k,61k,63k,65k
Nigeria,13.1k,,,,,,,,,,,230k,360k,530k,740k,980k,1.2M,1.5M,1.8M,2M,2.2M,2.4M,2.5M,2.6M,2.7M,2.8M,2.8M,2.9M,3M,3.1M,3.2M,3.3M,3.4M
Nicaragua,,,,,,,,165,,,,600,600,600,600,600,1100,1200,1400,1500,1700,2000,2200,2500,2900,3200,3700,4100,4700,5300,6000,6800,7600
Netherlands,,,,896,,,,,,,,6700,8400,10k,12k,13k,14k,15k,16k,17k,17k,18k,19k,19k,20k,21k,21k,22k,23k,23k,24k,24k,25k
Norway,,,,,311,,,,,,,600,1200,1400,1700,2000,2200,2400,2600,2800,2900,3100,3200,3300,3400,3600,3700,3800,4000,4100,4200,4400,4500
Nepal,,,,,,,680,,,,,600,600,1600,2500,3900,5900,8800,13k,18k,26k,34k,43k,51k,57k,61k,63k,63k,62k,59k,56k,53k,49k
New Zealand,,,,,,,,280,,,,1000,1000,1100,1100,1100,1100,1200,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600
Pakistan,,,,,,,,,,,,600,600,1100,1400,1800,2400,3100,4100,5400,7000,9200,12k,15k,20k,25k,32k,41k,51k,65k,81k,100k,130k
Panama,443,,,,,,,,,,,11k,13k,16k,19k,21k,24k,25k,26k,26k,26k,26k,25k,25k,24k,23k,22k,21k,20k,19k,19k,18k,18k
Peru,1010,,,,,,,,,,,27k,34k,44k,53k,62k,70k,75k,78k,80k,80k,80k,79k,77k,75k,73k,71k,70k,69k,69k,70k,71k,74k
Philippines,,,,,,,,,,,,350,350,350,600,600,600,600,1100,1400,1700,2000,2400,3000,3600,4300,5300,6400,7700,9400,11k,14k,19k
Papua New Guinea,,,,,,,,,133,,,4000,5500,7300,9200,11k,14k,16k,18k,20k,21k,23k,24k,25k,25k,26k,26k,26k,26k,27k,27k,27k,28k
Poland,,,,,,,,,,,,6800,8600,11k,12k,14k,16k,17k,19k,20k,21k,22k,24k,25k,26k,27k,28k,30k,31k,32k,33k,34k,35k
Portugal,1050,,,,,,,,,,,7000,9200,12k,15k,18k,20k,23k,26k,28k,30k,32k,34k,36k,37k,39k,40k,42k,43k,44k,45k,46k,48k
Paraguay,,,,,91,,,,,,,1600,1900,2100,2300,2500,2700,3000,3200,3500,3700,4000,4400,4700,5200,5700,6200,6900,7700,8700,9800,11k,13k
Romania,,,,,,,,,,,,3000,3900,5000,6300,7700,9100,11k,12k,13k,14k,15k,16k,16k,16k,17k,17k,17k,17k,16k,16k,16k,16k
Rwanda,220,,,,,,,,,,,200k,200k,200k,200k,200k,200k,200k,210k,220k,220k,230k,220k,220k,210k,210k,200k,200k,200k,200k,200k,210k,210k
Sudan,5480,,,,,,,,,,,20k,27k,35k,44k,52k,60k,66k,70k,72k,72k,70k,69k,67k,65k,63k,62k,62k,62k,63k,65k,67k,69k
Senegal,,,357,,,,,,,,,5000,5800,6700,7800,9100,11k,12k,14k,16k,19k,21k,24k,27k,30k,32k,35k,38k,41k,43k,46k,49k,53k
Singapore,,,,,,,,,,,,600,600,1200,1500,1800,2000,2200,2400,2500,2600,2600,2700,2700,2700,2700,2800,2900,3000,3200,3300,3400,3400
Sierra Leone,,,,,,,234,,,,,600,1100,1700,2500,3600,5000,6800,8900,11k,14k,18k,21k,25k,30k,34k,38k,41k,44k,45k,47k,48k,49k
El Salvador,,,,,,,297,,,,,3200,3900,4800,5700,6600,7500,8300,9000,9700,10k,11k,12k,12k,13k,14k,15k,16k,18k,19k,21k,22k,24k
Somalia,,,,,,,,,264,,,17k,19k,22k,24k,26k,28k,30k,31k,32k,33k,34k,34k,35k,35k,35k,35k,35k,35k,35k,35k,35k,35k
