country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Pakistan,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Panama,0.0464,,,,,,,,,,,0.2,0.3,0.3,0.4,1.1,1.6,1.6,1.6,1.6,1.5,1.4,1.4,1.3,1.2,1.1,1.1,1,0.9,0.9,0.8,0.8,0.8
Peru,0.0107,,,,,,,,,,,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Philippines,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Papua New Guinea,,,,,,,,,0.0102,,,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.7,0.7,0.8,0.8,0.9,0.9,0.7,0.7,0.7
Poland,,,,,,,,,,,,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Portugal,0.0205,,,,,,,,,,,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.7
Paraguay,,,,,0.00974,,,,,,,0.06,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Qatar,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,,,
Romania,,,,,,,,,,,,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Russia,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.3,0.5,0.6,0.8,0.8,0.9,0.9,0.9,1,,,
Rwanda,0.01,,,,,,,,,,,5.2,5.2,5.1,5,4.9,4.7,4.5,4.3,4.2,4,3.8,3.7,3.6,3.4,3.2,3.1,3,2.9,2.9,3,3,2.9
Sudan,0.0624,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.8,1,0.4,0.4,0.4
Senegal,,,0.00952,,,,,,,,,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.7,0.7,0.7
Singapore,,,,,,,,,,,,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sierra Leone,,,,,,,0.011,,,,,0.06,0.06,0.1,0.1,0.1,0.2,0.3,0.4,0.6,0.8,0.9,1.1,1.2,1.3,1.4,1.5,1.6,1.6,1.6,1.6,1.6,1.6
El Salvador,,,,,,,0.0123,,,,,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.6
Somalia,,,,,,,,,0.0104,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.7
Serbia,,,,,,,0.01,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
Suriname,,0.0119,,,,,,,,,,0.1,0.2,0.2,0.4,0.6,0.7,0.9,0.9,1,1,1,1,1,1,1,1.1,1,1,1,1.2,1.1,1
