year,week,region,cases
1996,14,Tahoua,494
1996,14,Tillaberi,269
1996,14,Zinder,1599
1996,15,Agadez,51
1996,15,Diffa,153
1996,15,Dosso,110
1996,15,Maradi,891
1996,15,Niamey,19
1996,15,Tahoua,591
1996,15,Tillaberi,167
1996,15,Zinder,1462
1996,16,Agadez,28
1996,16,Diffa,105
1996,16,Dosso,129
1996,16,Maradi,936
1996,16,Niamey,34
1996,16,Tahoua,692
1996,16,Tillaberi,101
1996,16,Zinder,1778
1996,17,Agadez,31
1996,17,Diffa,130
1996,17,Dosso,125
1996,17,Maradi,843
1996,17,Niamey,28
1996,17,Tahoua,634
1996,17,Tillaberi,171
1996,17,Zinder,1836
1996,18,Agadez,17
1996,18,Diffa,73
1996,18,Dosso,134
1996,18,Maradi,913
1996,18,Niamey,26
1996,18,Tahoua,514
1996,18,Tillaberi,245
1996,18,Zinder,1801
1996,19,Agadez,21
1996,19,Diffa,84
1996,19,Dosso,122
1996,19,Maradi,909
1996,19,Niamey,27
1996,19,Tahoua,569
1996,19,Tillaberi,92
1996,19,Zinder,1742
1996,20,Agadez,39
1996,20,Diffa,69
1996,20,Dosso,72
1996,20,Maradi,1089
1996,20,Niamey,26
1996,20,Tahoua,529
1996,20,Tillaberi,84
1996,20,Zinder,1887
1996,21,Agadez,8
1996,21,Diffa,73
1996,21,Dosso,85
1996,21,Maradi,932
1996,21,Niamey,17
1996,21,Tahoua,324
1996,21,Tillaberi,113
1996,21,Zinder,1666
1996,22,Agadez,19
1996,22,Diffa,58
1996,22,Dosso,119
1996,22,Maradi,959
1996,22,Niamey,12
1996,22,Tahoua,430
1996,22,Tillaberi,82
1996,22,Zinder,1512
1996,23,Agadez,5
1996,23,Diffa,24
1996,23,Dosso,46
1996,23,Maradi,777
1996,23,Niamey,4
1996,23,Tahoua,354
1996,23,Tillaberi,63
1996,23,Zinder,1028
1996,24,Agadez,2
1996,24,Diffa,32
1996,24,Dosso,32
1996,24,Maradi,574
1996,24,Niamey,1
1996,24,Tahoua,274
1996,24,Tillaberi,80
1996,24,Zinder,910
1996,25,Agadez,0
1996,25,Diffa,27
1996,25,Dosso,26
1996,25,Maradi,475
1996,25,Niamey,7
1996,25,Tahoua,175
1996,25,Tillaberi,73
1996,25,Zinder,697
1996,26,Agadez,0
1996,26,Diffa,8
1996,26,Dosso,11
1996,26,Maradi,389
1996,26,Niamey,3
1996,26,Tahoua,165
1996,26,Tillaberi,32
1996,26,Zinder,454
1996,27,Agadez,12
1996,27,Diffa,21
1996,27,Dosso,35
1996,27,Maradi,248
1996,27,Niamey,2
1996,27,Tahoua,132
1996,27,Tillaberi,41
1996,27,Zinder,310
1996,28,Agadez,0
1996,28,Diffa,10
1996,28,Dosso,16
1996,28,Maradi,235
1996,28,Niamey,2
1996,28,Tahoua,126
1996,28,Tillaberi,54
1996,28,Zinder,242
1996,29,Agadez,0
1996,29,Diffa,9
1996,29,Dosso,27
1996,29,Maradi,237
1996,29,Niamey,3
1996,29,Tahoua,107
1996,29,Tillaberi,25
1996,29,Zinder,199
1996,30,Agadez,0
1996,30,Diffa,11
1996,30,Dosso,21
1996,30,Maradi,139
1996,30,Niamey,0
1996,30,Tahoua,50
1996,30,Tillaberi,12
1996,30,Zinder,116
1996,31,Agadez,0
1996,31,Diffa,4
1996,31,Dosso,7
1996,31,Maradi,114
1996,31,Niamey,0
1996,31,Tahoua,88
1996,31,Tillaberi,19
1996,31,Zinder,94
1996,32,Agadez,6
1996,32,Diffa,3
1996,32,Dosso,3
1996,32,Maradi,96
1996,32,Niamey,0
1996,32,Tahoua,57
1996,32,Tillaberi,23
1996,32,Zinder,91
1996,33,Agadez,0
1996,33,Diffa,0
1996,33,Dosso,11
1996,33,Maradi,87
1996,33,Niamey,0
1996,33,Tahoua,34
1996,33,Tillaberi,9
1996,33,Zinder,102
1996,34,Agadez,0
1996,34,Diffa,2
1996,34,Dosso,0
1996,34,Maradi,81
1996,34,Niamey,0
1996,34,Tahoua,24
1996,34,Tillaberi,12
1996,34,Zinder,110
1996,35,Agadez,1
1996,35,Diffa,1
1996,35,Dosso,4
1996,35,Maradi,102
1996,35,Niamey,0
1996,35,Tahoua,22
1996,35,Tillaberi,9
1996,35,Zinder,56
1996,36,Agadez,0
1996,36,Diffa,3
1996,36,Dosso,2
1996,36,Maradi,56
1996,36,Niamey,0
1996,36,Tahoua,25
1996,36,Tillaberi,18
1996,36,Zinder,52
1996,37,Agadez,0
1996,37,Diffa,0
1996,37,Dosso,4
1996,37,Maradi,65
1996,37,Niamey,8
1996,37,Tahoua,21
1996,37,Tillaberi,7
1996,37,Zinder,45
1996,38,Agadez,0
1996,38,Diffa,0
1996,38,Dosso,1
1996,38,Maradi,69
1996,38,Niamey,0
1996,38,Tahoua,7
1996,38,Tillaberi,1
1996,38,Zinder,28
1996,39,Agadez,0
1996,39,Diffa,0
1996,39,Dosso,0
1996,39,Maradi,100
1996,39,Niamey,0
1996,39,Tahoua,14
1996,39,Tillaberi,6
1996,39,Zinder,21
1996,40,Agadez,0
1996,40,Diffa,0
1996,40,Dosso,5
1996,40,Maradi,78
1996,40,Niamey,0
1996,40,Tahoua,26
1996,40,Tillaberi,4
1996,40,Zinder,15
1996,41,Agadez,0
1996,41,Diffa,0
1996,41,Dosso,1
1996,41,Maradi,133
1996,41,Niamey,2
1996,41,Tahoua,30
1996,41,Tillaberi,11
1996,41,Zinder,17
1996,42,Agadez,0
1996,42,Diffa,1
1996,42,Dosso,0
1996,42,Maradi,165
1996,42,Niamey,1
1996,42,Tahoua,26
1996,42,Tillaberi,13
1996,42,Zinder,19
1996,43,Agadez,2
1996,43,Diffa,0
1996,43,Dosso,0
1996,43,Maradi,136
1996,43,Niamey,0
1996,43,Tahoua,19
1996,43,Tillaberi,1
1996,43,Zinder,20
1996,44,Agadez,0
1996,44,Diffa,0
1996,44,Dosso,0
1996,44,Maradi,101
1996,44,Niamey,0
1996,44,Tahoua,7
1996,44,Tillaberi,4
